timestamp,urgency,pop_prop_response,pop_prop_survival
2017-08-09T19:51:07,H,391,1.0
2017-08-09T20:15:37,H,137,1.0
2017-08-09T20:25:26,A,61,0.87
2017-08-09T20:37:36,A,156,0.85
2017-08-09T20:49:39,A,240,0.83
2017-08-09T20:55:49,H,691,0.99
2017-08-09T21:24:31,A,116,0.86
2017-08-09T21:31:34,H,290,1.0
2017-08-09T21:35:47,A,389,0.79
2017-08-09T21:32:06,H,1084,0.99
2017-08-09T21:21:23,H,393,1.0
2017-08-09T21:35:17,H,225,1.0
2017-08-09T21:39:53,H,303,1.0
2017-08-09T21:52:33,A,236,0.83
2017-08-09T21:47:35,A,329,0.81
2017-08-09T21:36:41,A,157,0.85
2017-08-09T22:21:40,A,258,0.83
2017-08-09T22:26:30,H,61,1.0
2017-08-09T22:11:22,H,268,1.0
2017-08-09T22:14:19,A,278,0.82
2017-08-09T22:10:10,H,202,1.0
2017-08-09T22:16:04,H,178,1.0
2017-08-09T22:44:43,H,278,1.0
2017-08-09T22:51:59,A,225,0.84
2017-08-09T23:24:46,H,61,1.0
2017-08-09T23:21:29,A,22,0.88
2017-08-09T23:41:27,A,688,0.7
2017-08-10T00:20:23,H,61,1.0
2017-08-10T00:21:41,H,61,1.0
2017-08-10T00:14:06,A,278,0.82
2017-08-10T00:34:53,H,279,1.0
2017-08-10T00:28:19,A,1428,0.41
2017-08-10T00:44:42,H,988,0.99
2017-08-10T01:26:31,H,325,1.0
2017-08-10T01:10:30,H,156,1.0
2017-08-10T00:59:22,A,354,0.8
2017-08-10T02:18:24,A,398,0.79
2017-08-10T02:26:57,A,278,0.82
2017-08-10T01:52:34,H,366,1.0
2017-08-10T03:07:01,H,61,1.0
2017-08-10T03:28:02,H,61,1.0
2017-08-10T03:38:37,H,243,1.0
2017-08-10T03:21:19,H,234,1.0
2017-08-10T04:29:36,H,250,1.0
2017-08-10T04:32,A,1781,0.28
2017-08-10T05:59:43,H,163,1.0
2017-08-10T06:18:46,H,61,1.0
2017-08-10T06:00:54,A,553,0.75
2017-08-10T06:04:36,A,176,0.85
2017-08-10T05:32:57,A,2084,0.19
2017-08-10T07:09:38,A,61,0.87
2017-08-10T06:45:36,A,371,0.8
2017-08-10T07:14:14,A,225,0.84
2017-08-10T07:36:41,A,61,0.87
2017-08-10T07:47:06,H,300,1.0
2017-08-10T08:05:48,H,167,1.0
2017-08-10T08:19:32,H,61,1.0
2017-08-10T08:13:17,A,468,0.77
2017-08-10T08:22:40,A,523,0.76
2017-08-10T08:14:41,A,293,0.82
2017-08-10T08:41:13,H,61,1.0
2017-08-10T08:38:07,A,184,0.84
2017-08-10T08:43:46,H,84,1.0
2017-08-10T09:04,H,148,1.0
2017-08-10T08:45:47,A,360,0.8
2017-08-10T09:10:32,H,307,1.0
2017-08-10T09:14:45,H,211,1.0
2017-08-10T09:08:15,H,454,0.99
2017-08-10T09:12:48,H,22,1.0
2017-08-10T09:15:55,H,486,0.99
2017-08-10T09:36:42,A,454,0.78
2017-08-10T08:59:13,H,317,1.0
2017-08-10T09:13:10,H,364,1.0
2017-08-10T10:01:20,H,799,0.99
2017-08-10T09:42:20,H,346,1.0
2017-08-10T10:09:54,A,328,0.81
2017-08-10T10:00:59,H,485,0.99
2017-08-10T09:43:43,H,1464,0.97
2017-08-10T09:57:58,H,73,1.0
2017-08-10T10:37:57,H,180,1.0
2017-08-10T10:31:17,H,393,1.0
2017-08-10T10:24:17,A,148,0.85
2017-08-10T10:28:06,A,112,0.86
2017-08-10T10:40:29,H,156,1.0
2017-08-10T10:45:28,A,610,0.73
2017-08-10T10:52:47,A,175,0.85
2017-08-10T10:51:20,A,225,0.84
2017-08-10T11:03:46,A,312,0.81
2017-08-10T10:30:01,H,80,1.0
2017-08-10T11:04:54,H,176,1.0
2017-08-10T11:24:36,H,367,1.0
2017-08-10T11:00:42,H,365,1.0
2017-08-10T11:34:06,H,147,1.0
2017-08-10T11:12,H,1607,0.97
2017-08-10T11:18,H,337,1.0
2017-08-10T11:27:01,H,268,1.0
2017-08-10T11:40:12,A,234,0.83
2017-08-10T11:56:55,H,413,1.0
2017-08-10T11:31:19,A,311,0.81
2017-08-10T12:16:07,H,156,1.0
2017-08-10T11:55:03,A,460,0.77
2017-08-10T12:13:10,A,407,0.79
2017-08-10T12:06:23,A,288,0.82
2017-08-10T12:32:21,A,78,0.87
2017-08-10T12:33:34,A,462,0.77
2017-08-10T12:37:15,H,121,1.0
2017-08-10T12:51:12,H,61,1.0
2017-08-10T12:41:17,A,230,0.83
2017-08-10T12:23:13,A,389,0.79
2017-08-10T13:09:17,H,58,1.0
2017-08-10T12:43:14,H,867,0.99
2017-08-10T13:26:38,H,236,1.0
2017-08-10T13:27:32,A,268,0.83
2017-08-10T13:39:34,A,364,0.8
2017-08-10T13:43:55,A,250,0.83
2017-08-10T13:43:47,A,103,0.86
2017-08-10T13:39:29,A,433,0.78
2017-08-10T13:11:28,H,273,1.0
2017-08-10T13:42:15,A,325,0.81
2017-08-10T14:08:56,H,73,1.0
2017-08-10T13:57:14,H,311,1.0
2017-08-10T13:51:09,A,295,0.82
2017-08-10T14:14:54,A,251,0.83
2017-08-10T14:29:04,A,230,0.83
2017-08-10T14:16:46,A,820,0.65
2017-08-10T14:43:17,H,250,1.0
2017-08-10T14:42:46,H,782,0.99
2017-08-10T14:07:48,A,1511,0.37
2017-08-10T14:37:37,H,372,1.0
2017-08-10T14:42:25,H,278,1.0
2017-08-10T14:38:44,H,389,1.0
